,countries,counts
0,United States,484
1,France,91
2,United Kingdom,78
3,Brazil,50
4,Jamaica,46
5,Nigeria,34
6,India,24
7,Italy,23
8,Canada,21
9,Netherlands,18
10,Germany,18
11,Egypt,14
12,Turkey,13
13,Guadeloupe,11
14,Saudi Arabia,11
15,China,10
16,Switzerland,9
17,Greece,9
18,Japan,9
19,Pakistan,8
20,Georgia,8
21,Malaysia,8
22,Ghana,8
23,Mexico,7
24,Jordan,7
25,Qatar,6
26,Mali,6
27,Jersey,5
28,South Africa,5
29,Portugal,5
30,Senegal,5
31,Morocco,5
32,Spain,5
33,Belgium,5
34,Denmark,5
35,Australia,4
36,New Zealand,4
37,United Arab Emirates,4
38,Curaçao,4
39,Tunisia,4
40,Cote d'Ivoire,4
41,Togo,4
42,South Korea,3
43,Bahrain,3
44,Burkina Faso,3
45,Kenya,3
46,Singapore,3
47,Cuba,3
48,Sweden,3
49,Israel,3
50,Ireland,3
51,Kuwait,3
52,Thailand,2
53,Poland,2
54,Russian Federation,2
55,Sudan,2
56,Argentina,2
57,Zimbabwe,2
58,Lebanon,2
59,England.,2
60,Austria,2
61,Congo,2
62,Bulgaria,2
63,Sénégal.,1
64,Cameroon,1
65,Trinidad and Tobago,1
66,Botswana,1
67,Estonia,1
68,Uganda,1
69,Ukraine,1
70,Benin,1
71,Bangladesh,1
72,Zambia,1
73,Eritrea,1
74,Monaco,1
75,Martinique,1
76,Hong Kong,1
77,Hungary,1
78,Iran,1
79,Iran.,1
80,Iraq,1
81,Kazakhstan,1
82,Liberia,1
83,Lithuania,1
84,Philippines,1
85,Peru,1
86,Malawi,1
87,Oman,1
88,Norway,1
89,French Guiana,1
