,Language,counts
10,English,58995
5,Chinese,2278
20,Japanese,2164
13,German,1668
12,French,1398
28,Russian,713
32,Spanish,573
25,Polish,398
19,Italian,352
7,Czech,225
27,Romanian,132
26,Portuguese,131
34,Turkish,106
9,Dutch,105
16,Hungarian,81
8,Danish,60
33,Swedish,44
21,Korean,41
4,Bulgarian,40
29,Serbian,39
30,Slovak,35
24,Persian,29
15,Hebrew,26
11,Finnish,23
6,Croatian,21
37,undefined,17
23,Norwegian,15
35,Ukrainian,13
1,Arabic,8
14,Greek,8
31,Slovenian,5
2,Azerbaijani,5
22,Lithuanian,3
3,Bosnian,3
17,Icelandic,2
18,Indonesian,1
36,catalan,1
0,Afrikaans,1
