,Year,1 country,2 countries,> 2 countries
0,1952,0,0,0
1,1954,0,0,0
2,1955,0,0,0
3,1958,0,0,0
4,1960,0,0,0
5,1962,0,0,0
6,1963,0,0,0
7,1964,0,0,0
8,1965,0,0,0
9,1966,0,0,0
10,1967,1,0,0
11,1968,0,0,0
12,1969,1,0,0
13,1970,0,0,0
14,1971,4,0,0
15,1972,1,3,0
16,1973,5,0,0
17,1974,8,0,0
18,1975,9,0,0
19,1976,12,2,0
20,1977,10,0,0
21,1978,6,1,0
22,1979,8,0,0
23,1980,10,0,0
24,1981,10,0,0
25,1982,8,0,0
26,1983,9,1,0
27,1984,4,2,0
28,1985,3,0,0
29,1986,5,2,0
30,1987,17,3,0
31,1988,11,0,0
32,1989,8,0,0
33,1990,11,2,0
34,1991,15,3,0
35,1992,5,0,0
36,1993,8,1,0
37,1994,14,0,1
38,1995,10,1,1
39,1996,6,1,1
40,1997,10,0,0
41,1998,6,1,0
42,1999,6,0,0
43,2000,8,0,0
44,2001,14,0,0
45,2002,8,1,0
46,2003,6,2,1
47,2004,10,1,0
48,2005,15,1,1
49,2006,11,1,0
50,2007,10,2,1
51,2008,16,3,0
52,2009,14,5,0
53,2010,13,7,0
54,2011,17,1,1
55,2012,17,2,0
56,2013,17,3,0
57,2014,28,5,0
58,2015,27,6,2
59,2016,29,8,1
60,2017,37,5,3
61,2018,29,7,1
62,2019,41,13,2
63,2020,34,12,2
64,2021,43,13,6
65,2022,54,5,3
66,2023,23,5,3
